2020-03-02 11:15:17,432 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 11:15:17,433 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 11:15:27,788 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 11:15:27,865 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 11:15:27,866 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 11:15:48,260 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 11:15:48,334 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 11:15:48,334 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 11:16:11,011 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 11:16:11,086 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 11:16:11,086 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 11:16:27,744 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 11:16:27,817 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 11:16:27,818 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 11:16:27,818 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 11:16:27,819 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 12:01:01,945 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 12:01:02,015 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 12:01:02,015 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 12:01:02,015 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 12:01:02,016 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 12:01:53,652 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 12:01:53,728 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 12:01:53,728 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 12:03:30,653 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 12:03:30,731 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 12:03:30,731 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 12:03:30,732 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 12:03:30,733 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 12:03:31,265 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:05:12,449 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:06:53,635 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:08:34,817 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:10:16,001 | roomBot.tools | INFO 	| Checked time
2020-03-02 09:12:20,474 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 09:12:20,547 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 09:12:20,547 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 09:12:20,549 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 09:12:20,551 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 09:12:21,159 | roomBot.tools | INFO 	| Checked time
2020-03-02 09:12:52,906 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: Hi! I'm a room bot. I can do some useful things. 

 First, select your building to understand the cleaning schedule
 If we are in a chat add all your roommates /addmembers
 When the next cleaning day? /nextcleaning
 The bot sends a notification on every cleaning day at 8am 
 Did you make a mistake? Change your building /changebuilding 

2020-03-02 09:12:53,062 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894:  Please, select your building

2020-03-02 09:12:57,296 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: Your building is 4th, so the next cleaning day will be in *2 days*, on the *4th of March*.

2020-03-02 09:14:02,348 | roomBot.tools | INFO 	| Checked time
2020-03-02 09:15:43,536 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:39:04,497 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 12:39:04,570 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 12:39:04,570 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 12:39:04,571 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 12:39:04,572 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 12:39:05,092 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:39:29,159 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: Hi! I'm a room bot. I can do some useful things. 

 First, select your building to understand the cleaning schedule
 If we are in a chat add all your roommates /addmembers
 When the next cleaning day? /nextcleaning
 The bot sends a notification on every cleaning day at 8am 
 Did you make a mistake? Change your building /changebuilding 

2020-03-02 12:39:29,272 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894:  Please, select your building

2020-03-02 12:40:42,534 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 12:40:42,606 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 12:40:42,607 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 12:40:42,608 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 12:40:42,608 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 12:40:43,119 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:40:45,784 | roomBot.tools | ERROR 	| module 'roomBot.config' has no attribute 'SEND_BUY_LIST'
Traceback (most recent call last):
  File "/home/lev/pythonProjects/roomBot3/bot/roomBot/__init__.py", line 30, in <module>
    bot.polling()
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/__init__.py", line 392, in polling
    self.__threaded_polling(none_stop, interval, timeout)
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/__init__.py", line 416, in __threaded_polling
    self.worker_pool.raise_exceptions()
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/util.py", line 109, in raise_exceptions
    six.reraise(self.exc_info[0], self.exc_info[1], self.exc_info[2])
  File "/usr/lib/python3/dist-packages/six.py", line 693, in reraise
    raise value
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/util.py", line 60, in run
    task(*args, **kwargs)
  File "/home/lev/pythonProjects/roomBot3/bot/roomBot/bot.py", line 57, in sendBuyList
    telegramtools.answer(bot, message, config.SEND_BUY_LIST,
AttributeError: module 'roomBot.config' has no attribute 'SEND_BUY_LIST'
2020-03-02 12:41:05,781 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 12:41:05,852 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 12:41:05,852 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 12:41:05,853 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 12:41:05,853 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 12:41:06,371 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:41:07,825 | roomBot.tools | ERROR 	| name 'ebn' is not defined
Traceback (most recent call last):
  File "/home/lev/pythonProjects/roomBot3/bot/roomBot/__init__.py", line 30, in <module>
    bot.polling()
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/__init__.py", line 392, in polling
    self.__threaded_polling(none_stop, interval, timeout)
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/__init__.py", line 416, in __threaded_polling
    self.worker_pool.raise_exceptions()
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/util.py", line 109, in raise_exceptions
    six.reraise(self.exc_info[0], self.exc_info[1], self.exc_info[2])
  File "/usr/lib/python3/dist-packages/six.py", line 693, in reraise
    raise value
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/util.py", line 60, in run
    task(*args, **kwargs)
  File "/home/lev/pythonProjects/roomBot3/bot/roomBot/bot.py", line 58, in sendBuyList
    reply_markup=telegramtools.generate_buy_list(buylist))
  File "/home/lev/pythonProjects/roomBot3/bot/roomBot/telegramtools.py", line 80, in generate_buy_list
    text = ebn.CHANGE_KEYBOARD_CLOSE_TEXT,
NameError: name 'ebn' is not defined
2020-03-02 12:42:02,209 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 12:42:02,283 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 12:42:02,283 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 12:42:02,284 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 12:42:02,285 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 12:42:02,779 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:42:06,786 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: your list:
2020-03-02 12:43:43,957 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:45:25,135 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:47:06,311 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:48:47,493 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:50:28,672 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:52:09,856 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:53:51,036 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:55:32,218 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:57:13,396 | roomBot.tools | INFO 	| Checked time
2020-03-02 12:58:54,572 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:00:58,189 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 13:00:58,262 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 13:00:58,262 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 13:00:58,263 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 13:00:58,264 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 13:00:58,799 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:01:04,390 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: Hi! I'm a room bot. I can do some useful things. 

 First, select your building to understand the cleaning schedule
 If we are in a chat add all your roommates /addmembers
 When the next cleaning day? /nextcleaning
 The bot sends a notification on every cleaning day at 8am 
 Did you make a mistake? Change your building /changebuilding 

2020-03-02 13:01:04,511 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894:  Please, select your building

2020-03-02 13:01:08,788 | roomBot.tools | ERROR 	| next_cleaning_day() missing 1 required positional argument: 'chat_id'
Traceback (most recent call last):
  File "/home/lev/pythonProjects/roomBot3/bot/roomBot/__init__.py", line 30, in <module>
    bot.polling()
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/__init__.py", line 392, in polling
    self.__threaded_polling(none_stop, interval, timeout)
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/__init__.py", line 416, in __threaded_polling
    self.worker_pool.raise_exceptions()
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/util.py", line 109, in raise_exceptions
    six.reraise(self.exc_info[0], self.exc_info[1], self.exc_info[2])
  File "/usr/lib/python3/dist-packages/six.py", line 693, in reraise
    raise value
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/util.py", line 60, in run
    task(*args, **kwargs)
  File "/home/lev/pythonProjects/roomBot3/bot/roomBot/bot.py", line 49, in sendNextCleaningDay
    message_to_send = tools.next_cleaning_day(message.chat.id)
TypeError: next_cleaning_day() missing 1 required positional argument: 'chat_id'
2020-03-02 13:02:21,677 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 13:02:21,751 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 13:02:21,752 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 13:02:21,753 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 13:02:21,753 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 13:02:22,245 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:02:24,817 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: You haven't chosen a building yet. 
/changebuilding
2020-03-02 13:02:28,896 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894:  Please, select your building

2020-03-02 13:02:30,860 | roomBot.tools | INFO 	| BOT [EDIT MESSAGE] -> sevenzing/339999894: Great! You have chosen 2nd building
2020-03-02 13:02:32,962 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: Your building is 2nd, so the next cleaning day will be in *4 days*, on the *6th of March*.

2020-03-02 13:02:42,226 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: Hi! I'm a room bot. I can do some useful things. 

 First, select your building to understand the cleaning schedule
 If we are in a chat add all your roommates /addmembers
 When the next cleaning day? /nextcleaning
 The bot sends a notification on every cleaning day at 8am 
 Did you make a mistake? Change your building /changebuilding 

2020-03-02 13:02:42,352 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894:  Please, select your building

2020-03-02 13:04:03,427 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:05:44,606 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:07:25,781 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:08:57,983 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 13:08:58,055 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 13:08:58,055 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 13:08:58,056 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 13:08:58,056 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 13:08:58,596 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:09:30,614 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: https://hotel.university.innopolis.ru/assets/images/schedule.png
2020-03-02 13:09:41,247 | roomBot.tools | INFO 	| BOT [EDIT MESSAGE] -> sevenzing/339999894: Great! You have chosen 2nd building
2020-03-02 13:09:54,712 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: Hi! I'm a room bot. I can do some useful things. 

 First, select your building to understand the cleaning schedule
 If we are in a chat add all your roommates /addmembers
 When the next cleaning day? /nextcleaning
 The bot sends a notification on every cleaning day at 8am 
 Did you make a mistake? Change your building /changebuilding 

2020-03-02 13:09:54,816 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894:  Please, select your building

2020-03-02 13:09:56,518 | roomBot.tools | INFO 	| BOT [EDIT MESSAGE] -> sevenzing/339999894: Great! You have chosen 4th building
2020-03-02 13:09:58,908 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: Your building is 4th, so the next cleaning day will be in *2 days*, on the *4th of March*.

2020-03-02 13:10:10,703 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 13:10:10,783 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 13:10:10,783 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 13:10:10,784 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 13:10:10,784 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 13:10:11,634 | roomBot.tools | INFO 	| BOT -> 339999894: Hello! Don't forget about cleaning today!
2020-03-02 13:10:11,792 | roomBot.tools | INFO 	| Sended notice message to 339999894. Updated lastnotice to 2020-03-05 00:00:00+03:00
2020-03-02 13:10:11,792 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:10:25,229 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 13:10:25,300 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 13:10:25,300 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 13:10:25,301 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 13:10:25,302 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 13:10:25,848 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:15:56,761 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 13:15:56,831 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 13:15:56,831 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 13:15:56,831 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 13:15:56,831 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 13:15:57,346 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:16:02,563 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: your list:
2020-03-02 13:17:38,532 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:18:03,626 | roomBot.tools | INFO 	| Hello from @kektest1488bot!
2020-03-02 13:18:03,697 | roomBot.tools | INFO 	| [INFO] >> Removed webhook
2020-03-02 13:18:03,697 | roomBot.tools | INFO 	| [INFO] >> Database has been attached
2020-03-02 13:18:03,698 | roomBot.tools | INFO 	| [INFO] >> Time checking started.
2020-03-02 13:18:03,699 | roomBot.tools | INFO 	| [INFO] >> Starting polling ...
2020-03-02 13:18:04,229 | roomBot.tools | INFO 	| Checked time
2020-03-02 13:18:07,062 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: Hi! I'm a room bot. I can do some useful things. 

 First, select your building to understand the cleaning schedule
 If we are in a chat add all your roommates /addmembers
 When the next cleaning day? /nextcleaning
 The bot sends a notification on every cleaning day at 8am 
 Did you make a mistake? Change your building /changebuilding 

2020-03-02 13:18:07,159 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894:  Please, select your building

2020-03-02 13:18:10,092 | roomBot.tools | INFO 	| BOT -> sevenzing/339999894: your list:
2020-03-02 13:18:37,556 | roomBot.tools | ERROR 	| name 'chat_id' is not defined
Traceback (most recent call last):
  File "/home/lev/pythonProjects/roomBot3/bot/roomBot/__init__.py", line 30, in <module>
    bot.polling()
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/__init__.py", line 392, in polling
    self.__threaded_polling(none_stop, interval, timeout)
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/__init__.py", line 416, in __threaded_polling
    self.worker_pool.raise_exceptions()
  File "/home/lev/.local/lib/python3.6/site-packages/telebot/util.py", line 109, in raise_exceptions
    six.reraise(self.exc_info[0], self.exc_info[1], self.exc_info[2])
  File "/usr/lib/python3/dist-packages/six.py", line 693, in reraise
    raise value
